Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2020-01-19 00:33:00,O,961,29859,715,59,648,0,0,263,65535,65535,65535,76,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,1304
2020-01-19 00:34:01,O,962,29860,714,59,647,0,0,263,65535,65535,65535,77,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,55366
2020-01-19 00:35:00,O,963,29859,713,59,647,0,0,263,65535,65535,65535,76,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,40105
2020-01-19 00:36:00,O,964,29863,713,59,646,0,0,263,65535,65535,65535,77,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,52561
2020-01-19 00:37:01,O,965,29863,713,59,645,0,0,263,65535,65535,65535,77,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,54633
2020-01-19 00:38:00,O,966,29863,712,59,645,0,0,263,65535,65535,65535,77,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,41290
2020-01-19 00:39:00,O,967,29864,711,59,643,0,0,263,65535,65535,65535,77,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,30051
2020-01-19 00:40:00,O,968,29866,711,59,643,0,0,263,65535,65535,65535,77,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,10813
2020-01-19 00:41:01,O,969,29865,710,59,643,0,0,263,65535,65535,65535,78,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,1596
2020-01-19 00:42:00,O,970,29868,710,59,642,0,0,263,65535,65535,65535,78,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,46419
2020-01-19 00:43:00,O,971,29865,710,59,641,0,0,263,65535,65535,65535,78,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,2680
2020-01-19 00:44:01,O,972,29865,709,59,640,0,0,263,65535,65535,65535,78,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,35662
2020-01-19 00:45:00,O,973,29866,708,59,640,0,0,263,65535,65535,65535,78,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,28733
2020-01-19 00:46:00,O,974,29868,708,59,639,1,0,263,65535,65535,65535,78,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,11521
2020-01-19 00:47:00,O,975,29868,707,59,638,0,0,263,65535,65535,65535,78,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,64098
2020-01-19 00:48:00,O,976,29870,707,59,638,0,0,263,65535,65535,65535,78,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,30700
2020-01-19 00:49:00,O,977,29866,706,59,637,0,0,263,65535,65535,65535,79,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,25022
2020-01-19 00:50:00,O,978,29868,705,59,637,0,0,263,65535,65535,65535,79,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,61732
